image_id,xmin,ymin,xmax,ymax,yolo_bbox,label
WANAGAMA_123.jpg,609,859,668,930,"[609, 859, 59, 71]",tree
WANAGAMA_123.jpg,505,289,568,364,"[505, 289, 63, 75]",tree
WANAGAMA_123.jpg,151,306,215,376,"[151, 306, 64, 70]",tree
WANAGAMA_123.jpg,226,141,269,192,"[226, 141, 43, 51]",tree
WANAGAMA_123.jpg,246,189,325,283,"[246, 189, 79, 94]",tree
WANAGAMA_123.jpg,309,329,338,366,"[309, 329, 29, 37]",tree
WANAGAMA_123.jpg,383,162,433,210,"[383, 162, 50, 48]",tree
WANAGAMA_123.jpg,382,74,432,132,"[382, 74, 50, 58]",tree
WANAGAMA_123.jpg,546,98,585,136,"[546, 98, 39, 38]",tree
WANAGAMA_123.jpg,466,236,518,275,"[466, 236, 52, 39]",tree
WANAGAMA_123.jpg,409,390,466,455,"[409, 390, 57, 65]",tree
WANAGAMA_123.jpg,433,354,485,404,"[433, 354, 52, 50]",tree
WANAGAMA_123.jpg,393,283,439,326,"[393, 283, 46, 43]",tree
WANAGAMA_123.jpg,965,245,1000,288,"[965, 245, 35, 43]",tree
WANAGAMA_123.jpg,451,536,501,592,"[451, 536, 50, 56]",tree
WANAGAMA_123.jpg,162,524,226,575,"[162, 524, 64, 51]",tree
WANAGAMA_123.jpg,173,425,219,478,"[173, 425, 46, 53]",tree
WANAGAMA_123.jpg,194,725,262,790,"[194, 725, 68, 65]",tree
WANAGAMA_123.jpg,374,665,433,728,"[374, 665, 59, 63]",tree
WANAGAMA_123.jpg,249,854,305,916,"[249, 854, 56, 62]",tree
WANAGAMA_123.jpg,371,796,422,844,"[371, 796, 51, 48]",tree
WANAGAMA_123.jpg,560,605,599,654,"[560, 605, 39, 49]",tree
WANAGAMA_123.jpg,463,674,502,715,"[463, 674, 39, 41]",tree
WANAGAMA_123.jpg,531,674,581,725,"[531, 674, 50, 51]",tree
WANAGAMA_123.jpg,537,515,567,545,"[537, 515, 30, 30]",tree
WANAGAMA_123.jpg,542,442,613,512,"[542, 442, 71, 70]",tree
WANAGAMA_123.jpg,644,307,692,355,"[644, 307, 48, 48]",tree
WANAGAMA_123.jpg,829,822,876,866,"[829, 822, 47, 44]",tree
WANAGAMA_123.jpg,809,890,860,940,"[809, 890, 51, 50]",tree
WANAGAMA_123.jpg,753,927,823,990,"[753, 927, 70, 63]",tree
WANAGAMA_124.jpg,601,364,663,435,"[601, 364, 62, 71]",tree
